image_id,food_name,is_fruit,qc_status,error
01625398_003,apple,True,pass,file not found: ..\data\raw\01625398_003.png
01625398_002,apple,True,pass,file not found: ..\data\raw\01625398_002.png
01625398_009,orange,True,pass,file not found: ..\data\raw\01625398_009.png
01625398_008,orange,True,pass,file not found: ..\data\raw\01625398_008.png
01625398_004,apple,True,pass,file not found: ..\data\raw\01625398_004.png
01625398_015,carrot,False,pass,file not found: ..\data\raw\01625398_015.png
01625398_006,orange,True,pass,file not found: ..\data\raw\01625398_006.png
01616148_003,apple,True,pass,file not found: ..\data\raw\01616148_003.png
01616148_006,orange,True,pass,file not found: ..\data\raw\01616148_006.png
01616148_008,orange,True,pass,file not found: ..\data\raw\01616148_008.png
01616148_005,apple,True,pass,file not found: ..\data\raw\01616148_005.png
01616148_013,carrot,False,pass,file not found: ..\data\raw\01616148_013.png
01616148_012,carrot,False,pass,file not found: ..\data\raw\01616148_012.png
01616148_014,carrot,False,pass,file not found: ..\data\raw\01616148_014.png
01616148_010,orange,True,pass,file not found: ..\data\raw\01616148_010.png
01616148_004,apple,True,pass,file not found: ..\data\raw\01616148_004.png
01616148_002,apple,True,pass,file not found: ..\data\raw\01616148_002.png
01616148_015,carrot,False,pass,file not found: ..\data\raw\01616148_015.png
01616148_011,carrot,False,pass,file not found: ..\data\raw\01616148_011.png
01616148_007,orange,True,pass,file not found: ..\data\raw\01616148_007.png
01616148_020,cucumber,False,pass,file not found: ..\data\raw\01616148_020.png
01610963_003,orange,True,pass,file not found: ..\data\raw\01610963_003.png
01610963_005,orange,True,pass,file not found: ..\data\raw\01610963_005.png
01610963_009,apple,True,pass,file not found: ..\data\raw\01610963_009.png
01610963_008,apple,True,pass,file not found: ..\data\raw\01610963_008.png
01610963_002,orange,True,pass,file not found: ..\data\raw\01610963_002.png
01610963_001,orange,True,pass,file not found: ..\data\raw\01610963_001.png
01610963_012,carrot,False,pass,file not found: ..\data\raw\01610963_012.png
01610963_014,carrot,False,pass,file not found: ..\data\raw\01610963_014.png
01610963_019,cucumber,False,pass,file not found: ..\data\raw\01610963_019.png
01610963_004,orange,True,pass,file not found: ..\data\raw\01610963_004.png
01610963_020,cucumber,False,pass,file not found: ..\data\raw\01610963_020.png
01610963_015,carrot,False,pass,file not found: ..\data\raw\01610963_015.png
01610963_011,carrot,False,pass,file not found: ..\data\raw\01610963_011.png
01610963_018,cucumber,False,pass,file not found: ..\data\raw\01610963_018.png
01674115_001,apple,True,pass,file not found: ..\data\raw\01674115_001.png
01674115_004,apple,True,pass,file not found: ..\data\raw\01674115_004.png
01674115_020,cucumber,False,pass,file not found: ..\data\raw\01674115_020.png
01674115_019,cucumber,False,pass,file not found: ..\data\raw\01674115_019.png
01674115_017,cucumber,False,pass,file not found: ..\data\raw\01674115_017.png
01674115_015,carrot,False,pass,file not found: ..\data\raw\01674115_015.png
01666596_015,apple,True,pass,file not found: ..\data\raw\01666596_015.png
01666596_014,apple,True,pass,file not found: ..\data\raw\01666596_014.png
01666596_003,orange,True,pass,file not found: ..\data\raw\01666596_003.png
01666596_002,orange,True,pass,file not found: ..\data\raw\01666596_002.png
01666596_001,orange,True,pass,file not found: ..\data\raw\01666596_001.png
01666596_016,carrot,False,pass,file not found: ..\data\raw\01666596_016.png
01666596_017,carrot,False,pass,file not found: ..\data\raw\01666596_017.png
01666596_012,apple,True,pass,file not found: ..\data\raw\01666596_012.png
01666596_018,carrot,False,pass,file not found: ..\data\raw\01666596_018.png
01666596_011,apple,True,pass,file not found: ..\data\raw\01666596_011.png
01666596_013,apple,True,pass,file not found: ..\data\raw\01666596_013.png
01475980_003,apple,True,pass,file not found: ..\data\raw\01475980_003.png
01475980_015,carrot,False,pass,file not found: ..\data\raw\01475980_015.png
01475980_018,cucumber,False,pass,file not found: ..\data\raw\01475980_018.png
01475980_006,orange,True,pass,file not found: ..\data\raw\01475980_006.png
01475980_002,apple,True,pass,file not found: ..\data\raw\01475980_002.png
01475980_012,carrot,False,pass,file not found: ..\data\raw\01475980_012.png
01475980_016,cucumber,False,pass,file not found: ..\data\raw\01475980_016.png
01475980_010,orange,True,pass,file not found: ..\data\raw\01475980_010.png
01475980_019,cucumber,False,pass,file not found: ..\data\raw\01475980_019.png
01475980_008,orange,True,pass,file not found: ..\data\raw\01475980_008.png
01475980_004,apple,True,pass,file not found: ..\data\raw\01475980_004.png
01475980_020,cucumber,False,pass,file not found: ..\data\raw\01475980_020.png
01475980_014,carrot,False,pass,file not found: ..\data\raw\01475980_014.png
01475980_005,apple,True,pass,file not found: ..\data\raw\01475980_005.png
01475980_009,orange,True,pass,file not found: ..\data\raw\01475980_009.png
01475980_001,apple,True,pass,file not found: ..\data\raw\01475980_001.png
01475980_007,orange,True,pass,file not found: ..\data\raw\01475980_007.png
01483309_005,apple,True,pass,file not found: ..\data\raw\01483309_005.png
01483309_020,cucumber,False,pass,file not found: ..\data\raw\01483309_020.png
01483309_017,cucumber,False,pass,file not found: ..\data\raw\01483309_017.png
01483309_008,orange,True,pass,file not found: ..\data\raw\01483309_008.png
01483309_011,carrot,False,pass,file not found: ..\data\raw\01483309_011.png
01483309_019,cucumber,False,pass,file not found: ..\data\raw\01483309_019.png
01483309_013,carrot,False,pass,file not found: ..\data\raw\01483309_013.png
01483309_006,orange,True,pass,file not found: ..\data\raw\01483309_006.png
01483309_016,cucumber,False,pass,file not found: ..\data\raw\01483309_016.png
01471890_009,apple,True,pass,file not found: ..\data\raw\01471890_009.png
01471890_006,apple,True,pass,file not found: ..\data\raw\01471890_006.png
01471890_015,carrot,False,pass,file not found: ..\data\raw\01471890_015.png
01471890_002,cucumber,False,pass,file not found: ..\data\raw\01471890_002.png
01471890_008,apple,True,pass,file not found: ..\data\raw\01471890_008.png
